Designator,Mid X,Mid Y,Rotation,Layer
C1,7.025008,21.249008,225.0,top
C10,-10.16,25.4,0.0,top
C2,5.588,14.478,90.0,top
C3,0.508,11.176,180.0,top
C4,13.208,16.764,180.0,top
C5,13.208,18.288,180.0,top
C6,6.604,10.16,0.0,top
C7,-9.652,1.524,180.0,top
C8,-1.257,19.05,180.0,top
C9,-13.65,25.4,180.0,top
D1,8.956,11.938,180.0,top
D2,-7.62,23.114,270.0,top
D3,-7.366,0.762,270.0,top
J1,7.62,25.908,90.0,top
J2,-7.62,27.94,270.0,top
J3,-27.94,-7.62,0.0,top
J4,7.62,-27.94,90.0,top
J6,-1.524,24.892,180.0,top
J7,-6.604,-5.08,90.0,top
R1,16.9,18.288,0.0,top
R10,-6.858,20.828,180.0,top
R11,16.9,15.24,0.0,top
R12,-9.652,0.0,0.0,top
R13,-1.27,14.986,0.0,top
R14,-17.272,23.876,180.0,top
R15,-17.272,25.4,180.0,top
R16,-6.858,18.415,180.0,top
R2,16.9,16.764,0.0,top
R3,10.668,21.844,0.0,top
R4,3.556,10.16,0.0,top
R5,9.652,10.16,180.0,top
R6,9.652,15.24,180.0,top
R7,9.652,13.716,180.0,top
R8,0.762,20.828,0.0,top
R9,-3.81,20.828,180.0,top
SW1,12.954,11.684,90.0,top
SW2,16.764,11.684,90.0,top
SW3,-10.16,20.828,90.0,top
SW4,-13.716,20.828,270.0,top
SW5,-13.716,-0.762,270.0,top
U1,2.54,15.24,270.0,top
U2,9.017,18.923,315.0,top
U3,29.5,29.0,0.0,top
U4,3.048,20.066,225.0,top
U5,-11.0,10.0,90.0,top
U7,-2.032,17.018,180.0,top
